#;Qty;Reference;Type Composant;Value;Description;Info sup;Type Boitier;Footprint;Distributeur;Ref Distrib;Fabricant;Ref Fabricant;Prix
1;9;C1,Cd1,Cd2,Cd3,Cd4,Cd5,Cd6,Cd17,Cd18;;100n;Unpolarized capacitor;;;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;CPE;;;;0
2;1;C2;;4.7u;Polarized capacitor, small symbol;;;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;CPE;;;;0
3;3;C3,C9,C11;;2.2u;Polarized capacitor, small symbol;;;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;CPE;;;;0
4;2;C4,C5;;10u;Polarized capacitor, small symbol;;;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;farnell;2346927;TDK;C2012X5R1E106K125AB;0,278
5;1;C6;;3.3u;Polarized capacitor, small symbol;;;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;CPE;;;;0
6;1;C7;;180p;Unpolarized capacitor;;;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;CPE;;;;0
7;4;C8,C10,C16,C17;;1u;Polarized capacitor, small symbol;;;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;CPE;;;;0
8;1;J1;;Screw_Terminal_01x02;;;;lib_proj_majeure:TerminalBlock_Phoenix_MKDS-1,5-2-3.81_1x02_P3.81mm_Horizontal;CPE;;;;0
9;1;J2;;Connecteur HE10;;;;lib_proj_majeure:he10-10d_LowProfile;CPE;;;;0
10;2;J3,J5;;Molex Picoblade 53398;;;;lib_proj_majeure:Molex_PicoBlade_53398-0671_1x06-1MP_P1.25mm_Vertical;CPE;;;;0
11;1;LS1;;PS1420P02CT;;;;buzzer:PS1420P02CT_TDK;farnell;1669967;TDK;PS1420P02CT;1,23
12;1;MK1;;WM-62a;;;;microv2:WM62A_fixed;CPE;;;;0
13;2;R1,R22;;1k;Resistor, small symbol;;;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;CPE;;;;0
14;1;R2;;2.2k;Resistor, small symbol;;;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;CPE;;;;0
15;1;R3;;16.2k;Resistor, small symbol;;;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;CPE;;;;0
16;8;R4,R5,R7,R8,R10,R11,R12,R13;;10k;Resistor, small symbol;;;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;CPE;;;;0
17;1;R6;;82.5k;Resistor, small symbol;;;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;CPE;;;;0
18;2;R9,R14;;51.1k;Resistor, small symbol;;;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;CPE;;;;0
19;2;R15,R16;;4.7k;Resistor, small symbol;;;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;CPE;;;;0
20;4;R23,R24,R25,R26;;0;Resistor, small symbol;;;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;CPE;;;;0
21;1;R27;;825;Resistor, small symbol;;;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;CPE;;;;0
22;10;TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10;;TestPoint;;;;lib_proj_majeure:Test_Point_x1;CPE;;;;0
23;1;U1;;STM32L010R8T6;ARM Cortex-M0+ MCU, 32KB flash, 8KB RAM, 32MHz, 1.65-3.6V, 51 GPIO, LQFP-64;;;lib_proj_majeure:LQFP-64_10x10mm_P0.5mm;CPE;;;;0
24;3;U2,U3,U4;;TS971IL;SOT-23-5 RRIO Low Noise Operational Amplifier, 5mV Offset, 5Î¼V/Â°C Drift, 12MHz GBW, Alternate KiCAD Library;;;footprints:SOT23-5L_STM;farnell;9755730;STMICROELECTRONICS;TS971ILT;1,12
25;1;U5;;MCP6002T-I/SN;Amplificateur opérationnel;;;SOIC8-N_MC_MCH;farnell;2764391;MICROCHIP;MCP6002T-I/SN;0,356
26;1;U6;;TC1015-3.3VCT713;;;;regulateur:SOT-23-5_MC_MCH;CPE;;;;0
27;1;U7;;DHT11;3.3V to 5.5V, temperature and humidity module, DHT11;;;Sensor:Aosong_DHT11_5.5x12.0_P2.54mm;CPE;;;;0
28;2;x;;FSR06BE;Résistance sensible à la force, Ronde, Série FSR, 15 g à 5 kg, Cosse à souder;Sert de capteur de poids;;;farnell;4015797;OHMITE;FSR06BE;5,37
;;;;;;;;;;Copié;;;
